name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
ishepard,0,1,21430,404,187.74718397997498,3.5394242803504383,03/21/2018,05/28/2020,0,0.8959067172692742,45.853960396039604
Spadini Davide,0,1,3229,32,43.974708171206224,0.4357976653696498,04/24/2018,09/20/2019,0,,0.0
Davide Spadini,0,1,10640,121,59.3939393939394,0.6754385964912281,05/24/2018,10/29/2021,109,0.9365384615384615,2.1487603305785123
Ledenel,0,0,15,2,0,0,08/01/2018,08/01/2018,0,1.0,28.0
Luca Pascarella,0,0,18,2,0.6028708133971292,0.06698564593301436,11/28/2018,06/25/2019,0,0.7142857142857143,11.5
Kang Hong Jin,0,1,101,4,88.375,3.5,01/09/2019,01/17/2019,0,0.8846153846153846,0.0
Christoph Gote,0,0,23,3,0,0,01/14/2019,01/14/2019,0,1.0,-7.666666666666667
NullConvergence,0,0,379,14,7.536931818181818,0.27840909090909094,03/14/2019,02/29/2020,0,0.7976190476190476,383.2857142857143
Marco Castelluccio,0,0,474,6,15.504672897196262,0.19626168224299065,05/22/2019,12/22/2019,0,0.7437810945273632,-7.333333333333333
Codematic71,0,0,2,1,0,0,05/24/2019,05/24/2019,0,,0.0
stefanodallapalma,0,1,7220,56,97.75628626692456,0.7582205029013539,12/11/2019,05/11/2021,0,0.7495230506912197,0.19642857142857142
Yusuf Sulistyo Nugroho,0,0,13,1,0,0,12/17/2019,12/17/2019,0,,1.0
James Goodwin,0,0,49,3,0,0,12/21/2019,12/21/2019,0,0.8,0.0
Alex,0,1,8,3,56.0,21.0,02/28/2020,02/29/2020,0,,0.0
Arie van Deursen,0,1,893,16,130.22916666666669,2.3333333333333335,04/01/2020,05/19/2020,2,0.9047619047619048,139.8125
Evan Casey,0,0,58,2,0,0,04/05/2020,04/05/2020,0,0.625,3.0
Stephane Poss,0,0,7,1,0,0,11/11/2020,11/11/2020,0,1.0,0.0
butterl,0,1,60,6,210.0,21.0,01/01/2021,01/03/2021,0,1.0,0.0
Felipe Ebert,0,0,2,1,0,0,01/28/2021,01/28/2021,0,,0.0
Dominik Tuchyna,0,0,2,1,0,0,04/11/2021,04/11/2021,0,,0.0
HelgeCPH,0,1,463,10,67.52083333333334,1.4583333333333335,04/14/2021,06/01/2021,1,0.9214285714285715,0.4
Stefano Dalla Palma,0,0,125,3,24.305555555555554,0.5833333333333333,05/10/2021,06/15/2021,45,,-2.0
Gregor Lato,0,1,61,3,427.0,21.0,05/17/2021,05/18/2021,0,0.7857142857142857,0.0
Shantanu Oak,0,0,2,1,0,0,06/07/2021,06/07/2021,0,,0.0
andodet,0,0,14,2,0,0,07/08/2021,07/08/2021,0,1.0,0.5
k----n,0,0,10,4,5.384615384615384,2.1538461538461537,09/16/2021,09/29/2021,1,,0.0
Gábor Lipták,0,0,6,1,0,0,10/28/2021,10/28/2021,0,,0.0
