name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
Julian Shapiro,0,1,134797,550,611.5223590408295,2.4951393389500973,04/09/2014,06/30/2018,18,0.8117404196184858,4.610909090909091
Justin Dorfman,0,0,6,2,0,0,04/30/2014,04/30/2014,0,,0.0
Jeff Micklos,0,0,5,1,0,0,05/01/2014,05/01/2014,0,,0.0
Jimmy Gaussen,0,1,9604,6,6722.8,4.2,05/02/2014,05/12/2014,5,0.4512229406803486,41.666666666666664
Yehonatan Daniv,0,1,223,5,18.807228915662648,0.4216867469879518,05/23/2014,08/14/2014,0,1.0,0.0
Jens Anders Bakke,0,0,3017,1,0,0,05/28/2014,05/28/2014,0,1.0,4.0
Jacob Buck,0,1,272,2,29.75,0.21875,06/05/2014,08/08/2014,0,1.0,1.5
Nikola Klaric,0,0,4,1,0,0,06/10/2014,06/10/2014,0,,0.0
tomByrer,0,0,2,1,0,0,06/11/2014,06/11/2014,0,,1.0
Hiswe,0,0,2,1,0,0,07/01/2014,07/01/2014,0,,0.0
Jonathan Perl,0,0,4,1,0,0,07/07/2014,07/07/2014,0,,0.0
Kenneth Ormandy,0,0,2,1,0,0,08/12/2014,08/12/2014,0,,0.0
Luke Channings,1,1,16859,3,118013.0,21.0,08/24/2014,08/25/2014,17,0.7147584847204619,2.0
Dan Rogers,0,0,4,1,0,0,08/28/2014,08/28/2014,0,,0.0
James Smith,0,0,2,1,0,0,10/29/2014,10/29/2014,0,,0.0
Morton Fox,0,0,2,1,0,0,03/20/2015,03/20/2015,0,,1.0
Jack Wakefield,0,0,11,1,0,0,03/26/2015,03/26/2015,0,,0.0
Aristides Lourenco,0,0,9,1,0,0,05/02/2015,05/02/2015,0,1.0,0.0
Jonathon Vogel,0,0,1,1,0,0,05/22/2015,05/22/2015,0,,0.0
Pete Hopkins,0,0,881,1,0,0,08/24/2015,08/24/2015,0,,0.0
Ken Wheeler,0,0,973,2,0,0,09/26/2015,09/26/2015,0,,0.0
arush,0,0,4,1,0,0,10/21/2015,10/21/2015,0,,0.0
Peter Dave Hello,0,0,6,1,0,0,12/09/2015,12/09/2015,0,,0.0
Adrian Simmons,0,0,8,1,0,0,12/14/2015,12/14/2015,0,,0.0
Prasanna V. Loganathar,0,0,14,1,0,0,02/25/2016,02/25/2016,0,1.0,1.0
Anil Kulkarni,0,0,6,1,0,0,04/11/2016,04/11/2016,0,,0.0
philippklodt,0,0,11,1,0,0,05/14/2016,05/14/2016,0,,0.0
Julian Verdurmen,0,0,79,1,0,0,07/26/2016,07/26/2016,0,,0.0
Ryc O'Chet,0,1,325078,259,1569.3420689655172,1.250344827586207,08/13/2016,08/02/2020,524,0.7317144963979932,-0.6138996138996139
Khurram Virani,0,0,38,2,4.666666666666667,0.2456140350877193,08/22/2016,10/18/2016,0,,-4.0
Ademílson F. Tonato,0,0,46,2,0,0,10/13/2016,10/13/2016,1,,-0.5
Xuehua Cai,0,0,2,1,0,0,10/28/2016,10/28/2016,0,,0.0
Aaron Lampros,0,0,4,1,0,0,10/28/2016,10/28/2016,0,,0.0
Sergii Kliuchnyk,0,0,6,1,0,0,10/31/2016,10/31/2016,0,,0.0
Oskar Thornblad,0,0,2,1,0,0,11/18/2016,11/18/2016,0,,0.0
Iwasawafag,0,0,10,1,0,0,12/02/2016,12/02/2016,0,,0.0
codeslaw,0,0,536,1,0,0,12/03/2016,12/03/2016,0,0.6912751677852349,1.0
Michael Campagnaro,0,0,8,1,0,0,12/04/2016,12/04/2016,0,,0.0
Artyom Desyatnikov,0,0,2,1,0,0,01/04/2017,01/04/2017,0,,0.0
Nic Jansma,0,0,4,1,0,0,03/17/2017,03/17/2017,0,,0.0
Paul Falgout,0,0,3,2,0,0,03/17/2017,03/17/2017,0,,0.0
Wyatt O'Day,0,0,57,1,0,0,03/17/2017,03/17/2017,0,,5.0
Alexandros Dorodoulis,0,1,661,6,514.1111111111111,4.666666666666666,10/31/2017,11/09/2017,0,0.9772727272727273,-0.16666666666666666
Duskfall,0,1,6870,16,384.71999999999997,0.896,11/08/2017,03/13/2018,10,0.8496629752160577,1.625
Mike McNally,0,0,2,1,0,0,01/06/2018,01/06/2018,0,,0.0
Benjamin Svobodny,0,0,14,1,0,0,01/06/2018,01/06/2018,0,,0.0
Lukas Drgon,0,0,4,1,0,0,01/06/2018,01/06/2018,0,,0.0
Johannes Ebke,0,0,7,1,0,0,01/06/2018,01/06/2018,0,1.0,0.0
Pete Cook,0,0,176,1,0,0,06/28/2018,06/28/2018,0,,44.0
snokier,0,0,8,1,0,0,06/29/2018,06/29/2018,0,,0.0
Michael Wagner,0,0,2,1,0,0,11/30/2019,11/30/2019,0,,0.0
