name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
Rik Cabanier,0,0,35,1,0,0,10/04/2021,10/04/2021,2,0.75,0.0
Michael Herzog,0,1,2776,39,626.8387096774193,8.806451612903226,10/04/2021,11/04/2021,47,0.7471945125886229,4.794871794871795
Mr.doob,0,1,3856,16,1038.1538461538462,4.3076923076923075,10/04/2021,10/30/2021,40,0.8068045922028223,-0.375
linbingquan,0,1,1389,6,373.96153846153845,1.6153846153846154,10/04/2021,10/30/2021,6,1.0,0.0
Don McCurdy,0,0,48,1,0,0,10/04/2021,10/04/2021,2,1.0,1.0
Pim de Wit,0,0,50,1,0,0,10/04/2021,10/04/2021,4,,0.0
sunag,0,1,4949,10,1443.4583333333335,2.916666666666667,10/04/2021,10/28/2021,68,0.5189160093310291,2.5
Paul Masson,0,0,2,1,0,0,10/06/2021,10/06/2021,0,,0.0
James Baicoianu,0,0,117,1,0,0,10/06/2021,10/06/2021,2,0.3333333333333333,0.0
DefinitelyMaybe,0,0,241,1,0,0,10/06/2021,10/06/2021,1,1.0,0.0
Dave Buchhofer,0,0,43,1,0,0,10/08/2021,10/08/2021,1,1.0,0.0
Rodrigo Schuller,0,0,3,1,0,0,10/08/2021,10/08/2021,1,,0.0
Thomas Zeugner,0,0,510,1,0,0,10/08/2021,10/08/2021,1,0.7916666666666666,2.0
Takahiro,0,0,2,1,0,0,10/11/2021,10/11/2021,1,,0.0
Devansh Gupta,0,0,12,1,0,0,10/12/2021,10/12/2021,1,,0.0
Salim BRG,0,0,1,1,0,0,10/13/2021,10/13/2021,0,,0.0
inokawa,0,0,2,1,0,0,10/15/2021,10/15/2021,1,,0.0
Mugen87,0,0,77,1,0,0,10/19/2021,10/19/2021,0,0.75,0.0
Rodrigo Soares,0,0,2,1,0,0,10/19/2021,10/19/2021,1,,0.0
Robert Long,0,0,68,1,0,0,10/22/2021,10/22/2021,2,,0.0
Sebastiaan ten Pas,0,1,102,2,714.0,14.0,10/26/2021,10/27/2021,1,1.0,0.0
Emmett Lalish,0,0,1,1,0,0,10/27/2021,10/27/2021,1,,0.0
Boulevard,0,0,4,1,0,0,10/28/2021,10/28/2021,1,,0.0
Viktor Kovacs,0,0,2,1,0,0,10/28/2021,10/28/2021,1,,0.0
Marco Fugaro,0,0,32,2,0,0,10/30/2021,10/30/2021,0,1.0,0.0
on the z,0,0,19,1,0,0,11/03/2021,11/03/2021,3,,4.0
georgpukk,0,0,11,1,0,0,11/03/2021,11/03/2021,1,1.0,0.0
Manuel Fernández Baños,0,0,5,1,0,0,11/03/2021,11/03/2021,0,,-1.0
georgealways,0,0,4032,1,0,0,11/03/2021,11/03/2021,118,0.158816660179058,0.0
