name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
Mr.doob,1,1,290082,402,8356.27160493827,11.580246913580247,03/01/2021,10/30/2021,160,0.7837138820064127,-0.7089552238805971
ycw,0,0,70,9,2.5,0.32142857142857145,03/01/2021,09/13/2021,3,1.0,0.0
Mugen87,0,1,521,13,15.719827586206895,0.3922413793103448,03/01/2021,10/19/2021,0,0.4992753623188406,1.0769230769230769
Garrett Johnson,0,1,5638,33,225.52,1.32,03/02/2021,08/24/2021,19,0.7210438535054315,6.0606060606060606
tb2k,0,0,18,1,0,0,03/02/2021,03/02/2021,0,,0.0
Michael Herzog,1,1,263480,298,7467.044534412956,8.445344129554655,03/02/2021,11/04/2021,598,0.8053491749907257,-1.8825503355704698
Elisée Maurer,0,0,2,1,0,0,03/03/2021,03/03/2021,0,,0.0
Takahiro,0,1,29517,23,930.7162162162161,0.7252252252252253,03/03/2021,10/11/2021,29,0.6813059901263231,5.043478260869565
beginor,0,0,16,1,0,0,03/05/2021,03/05/2021,1,,0.0
linbingquan,0,1,34010,27,1008.771186440678,0.8008474576271186,03/08/2021,10/30/2021,21,0.9068241469816273,3.2222222222222223
Julianouyang,0,0,2,1,0,0,03/09/2021,03/09/2021,0,1.0,0.0
Marco Fugaro,0,1,147663,29,4417.2692307692305,0.8675213675213674,03/10/2021,10/30/2021,257,0.9727814088598402,24.862068965517242
Sergey,0,0,16,1,0,0,03/12/2021,03/12/2021,0,,0.0
heqiang,0,0,74,7,5.395833333333334,0.5104166666666667,03/12/2021,06/16/2021,3,1.0,0.0
David Peicho,0,0,1,1,0,0,03/12/2021,03/12/2021,0,,0.0
Johnathon Selstad,0,1,1135,3,104.53947368421052,0.2763157894736842,03/12/2021,05/27/2021,6,0.9182795698924732,35.666666666666664
Mateusz Charytoniuk,0,0,4,1,0,0,03/15/2021,03/15/2021,0,,0.0
na2,0,0,2395,1,0,0,03/17/2021,03/17/2021,19,,1.0
Tom Valkeneers,0,1,946,2,150.5,0.3181818181818182,03/17/2021,04/30/2021,5,0.3417085427135678,19.0
Simon Date,0,0,16,1,0,0,03/18/2021,03/18/2021,0,,2.0
Jake Zhu,0,0,2,1,0,0,03/18/2021,03/18/2021,0,,0.0
Guillaume Fradin,0,0,3,1,0,0,03/18/2021,03/18/2021,0,,0.0
Mark Nevill,0,0,48,1,0,0,03/21/2021,03/21/2021,2,1.0,0.0
Olli Etuaho,0,0,50,2,2.9661016949152543,0.11864406779661017,03/23/2021,07/19/2021,1,,0.0
Arseny Kapoulkine,0,0,20,2,0.9523809523809523,0.09523809523809523,03/25/2021,08/19/2021,0,,1.5
Juan Jose Luna Espinosa,0,1,225,4,87.5,1.5555555555555554,03/25/2021,04/12/2021,1,,0.0
Michael Harvey,0,0,3,1,0,0,03/25/2021,03/25/2021,0,,0.0
chubei,0,0,93,1,0,0,03/26/2021,03/26/2021,2,0.09090909090909091,0.0
Vis,0,1,1783,9,416.03333333333336,2.1,03/27/2021,04/26/2021,5,0.759656652360515,8.11111111111111
aardgoose,0,0,2,1,0,0,03/27/2021,03/27/2021,0,1.0,0.0
SuperSodaSea,0,0,234,1,0,0,03/29/2021,03/29/2021,1,0.8108108108108109,12.0
dependabot[bot],0,0,12,2,1.75,0.2916666666666667,03/30/2021,05/17/2021,0,,0.0
Antonio González Viegas,1,1,866502,5,42714.887323943665,0.24647887323943662,03/30/2021,08/19/2021,5,0.8954202039260319,1.6
Hoodgail,0,0,16,1,0,0,03/30/2021,03/30/2021,0,1.0,1.0
puxiao,0,1,440,14,22.318840579710145,0.7101449275362318,03/30/2021,08/15/2021,25,,0.0
Rémi Tran,0,0,24,1,0,0,03/30/2021,03/30/2021,0,1.0,0.0
Don McCurdy,0,1,1917,16,72.14516129032258,0.6021505376344086,04/01/2021,10/04/2021,14,0.9477172312223858,1.1875
Alex Hanson-White,0,0,5,1,0,0,04/03/2021,04/03/2021,1,,0.0
Ryan Henning,0,0,90,1,0,0,04/05/2021,04/05/2021,6,1.0,1.0
Kevin Chapelier,0,0,4,1,0,0,04/08/2021,04/08/2021,0,,0.0
Ian Purvis,0,0,329,1,0,0,04/09/2021,04/09/2021,1,1.0,3.0
José Ferrão,0,0,133,1,0,0,04/10/2021,04/10/2021,1,,0.0
Luis E. Fraguada,0,1,468,3,102.375,0.65625,04/15/2021,05/17/2021,1,1.0,0.0
john-keith,0,0,8,1,0,0,04/16/2021,04/16/2021,1,1.0,0.0
Yannick,0,0,19,1,0,0,04/20/2021,04/20/2021,1,,0.0
sunag,0,1,13032,45,477.6125654450262,1.649214659685864,04/20/2021,10/28/2021,106,0.7277821280302524,3.066666666666667
Pim Schreurs,0,0,28,1,0,0,04/20/2021,04/20/2021,0,,0.0
VBT-YTokan,1,1,92609,2,22353.896551724138,0.48275862068965514,04/20/2021,05/19/2021,4,0.2367405973110016,11.5
Aki Rodić,0,0,6,1,0,0,04/22/2021,04/22/2021,0,,0.0
davehill00,0,1,94,2,8.02439024390244,0.17073170731707318,04/22/2021,07/13/2021,1,0.25,0.0
Juan Peist,0,0,7,1,0,0,04/23/2021,04/23/2021,0,,-1.0
Brian Santoso,0,0,2,1,0,0,04/23/2021,04/23/2021,0,,0.0
Jason Johnston,0,1,18,2,42.0,4.666666666666667,04/23/2021,04/26/2021,1,,0.0
makc,0,0,17,5,0.7933333333333333,0.23333333333333334,04/28/2021,09/25/2021,4,,0.0
Jake Livak,0,0,5,1,0,0,04/29/2021,04/29/2021,1,,0.0
Amos Byon,0,0,4,1,0,0,05/01/2021,05/01/2021,0,,0.0
Matthew Simpson,0,0,60,1,0,0,05/01/2021,05/01/2021,1,,0.0
AssassinForReal,0,0,3,1,0,0,05/02/2021,05/02/2021,0,,0.0
Kai Salmen,0,0,8,1,0,0,05/02/2021,05/02/2021,0,,0.0
qeeqez,0,1,272,6,12.864864864864865,0.28378378378378377,05/03/2021,09/28/2021,0,0.9090909090909092,0.3333333333333333
WestLangley,0,1,2663,73,146.7795275590551,4.0236220472440944,05/03/2021,09/07/2021,60,0.7698587127158555,0.1506849315068493
harehare,0,1,3890,2,5446.0,2.8,05/06/2021,05/11/2021,43,,2.0
"Tianrui ""Felix"" Zhang",0,0,2062,1,0,0,05/06/2021,05/06/2021,0,1.0,13.0
Carsten Schwede,0,0,2,1,0,0,05/11/2021,05/11/2021,1,1.0,0.0
Kai / Codrakai (he/him),0,0,6,2,6.0,2.0,05/17/2021,05/24/2021,0,,0.0
Morteza Karimi,0,0,157,1,0,0,05/18/2021,05/18/2021,0,0.4716981132075472,1.0
"Yutaka ""FMS_Cat"" Obuchi",0,0,4,1,0,0,05/19/2021,05/19/2021,2,,0.0
Inklingboiii,0,0,2,1,0,0,05/21/2021,05/21/2021,0,,0.0
kolodi,0,1,263,2,306.83333333333337,2.3333333333333335,05/21/2021,05/27/2021,0,0.42857142857142855,1.0
0X-JonMichaelGalindo,0,0,4,1,0,0,05/22/2021,05/22/2021,1,,0.0
bill42362,0,1,594,2,297.0,1.0,05/24/2021,06/07/2021,2,1.0,5.0
Paul Masson,0,0,8,4,0.4444444444444444,0.2222222222222222,06/02/2021,10/06/2021,0,,0.0
YuCong,0,0,6,1,0,0,06/02/2021,06/02/2021,0,,0.0
Felix Mariotto,0,1,150,5,14.18918918918919,0.47297297297297297,06/02/2021,08/15/2021,1,,0.0
Logic,0,0,2,1,0,0,06/04/2021,06/04/2021,1,,0.0
Abhinav Sharma,0,0,2,1,0,0,06/10/2021,06/10/2021,1,,0.0
Mathieu Brédif,0,0,41,1,0,0,06/10/2021,06/10/2021,0,,0.0
Xavier Willemin,0,0,12,2,0,0,06/16/2021,06/16/2021,0,1.0,0.0
developers-mirrorme3d,0,0,175,1,0,0,06/17/2021,06/17/2021,1,0.10909090909090909,3.0
Martin Schuhfuss,0,0,2,1,0,0,06/18/2021,06/18/2021,0,,0.0
Benjamin MICHEL,0,0,34,1,0,0,06/18/2021,06/18/2021,0,,0.0
Luke Ingalls,0,0,2,1,0,0,06/19/2021,06/19/2021,0,,0.0
Meli Harvey,0,0,42,1,0,0,06/19/2021,06/19/2021,1,0.25,0.0
NNskelly,0,0,31,1,0,0,06/25/2021,06/25/2021,0,1.0,2.0
inokawa,0,0,4,2,0.25688073394495414,0.12844036697247707,06/28/2021,10/15/2021,1,,0.0
Renaud Rohlinger,0,0,4,1,0,0,06/28/2021,06/28/2021,0,,0.0
Akihiro Oyamada,0,0,12,1,0,0,06/29/2021,06/29/2021,0,,0.0
Rik Cabanier,0,1,616,8,44.45360824742268,0.5773195876288659,06/29/2021,10/04/2021,2,0.6046593757120072,0.75
Zachary Capalbo,0,0,2,1,0,0,06/30/2021,06/30/2021,0,,0.0
SxP,0,1,386,2,122.81818181818183,0.6363636363636364,07/05/2021,07/27/2021,1,,12.5
Adam Spindler,0,0,34,1,0,0,07/07/2021,07/07/2021,3,1.0,0.0
vsh,0,0,20,1,0,0,07/09/2021,07/09/2021,0,,0.0
LeoShen,0,0,6,1,0,0,07/09/2021,07/09/2021,0,1.0,0.0
Victor Nakoryakov,0,1,62,2,144.66666666666669,4.666666666666667,07/13/2021,07/16/2021,0,,3.5
Brian Peiris,0,1,131,2,18.34,0.27999999999999997,07/19/2021,09/07/2021,6,1.0,2.5
墨抒颖,0,0,2,1,0,0,07/20/2021,07/20/2021,1,,0.0
munrocket,0,0,12,1,0,0,07/22/2021,07/22/2021,0,,0.0
camnewnham,0,1,53,3,23.1875,1.3125,07/22/2021,08/07/2021,0,0.38461538461538464,0.0
FoolHen,0,0,2,1,0,0,07/22/2021,07/22/2021,0,,0.0
Hugo Locurcio,0,0,4,1,0,0,07/26/2021,07/26/2021,1,,0.0
Servin Nissen,0,0,25,1,0,0,08/03/2021,08/03/2021,1,,0.0
DeepKolos,0,0,743,1,0,0,08/10/2021,08/10/2021,3,0.35377358490566035,8.0
Ithamar R. Adema,0,0,4,1,0,0,08/19/2021,08/19/2021,0,,-1.0
GiuseppeRaso,0,0,13,1,0,0,08/20/2021,08/20/2021,0,,0.0
Ondřej Španěl,0,1,14,4,7.538461538461538,2.1538461538461537,08/21/2021,09/03/2021,0,,0.0
Gm,0,0,9,1,0,0,08/22/2021,08/22/2021,1,,0.0
Steve Richardson,0,0,45,1,0,0,08/24/2021,08/24/2021,0,0.1,0.0
SaintMalik,0,0,38,1,0,0,08/26/2021,08/26/2021,9,,0.0
Samuel Dion-Girardeau,0,0,3,1,0,0,08/26/2021,08/26/2021,1,,0.0
artificial-jon,0,0,4,1,0,0,08/30/2021,08/30/2021,0,,0.0
Octo,0,1,182,2,637.0,7.0,09/08/2021,09/10/2021,2,,3.0
danielefornari,0,0,6892,1,0,0,09/09/2021,09/09/2021,3,0.46919726197884254,334.0
Trygve Wastvedt,0,0,8,1,0,0,09/10/2021,09/10/2021,0,,0.0
Lewy Blue,0,0,133,1,0,0,09/13/2021,09/13/2021,1,,0.0
Sebastian W,0,0,4,1,0,0,09/21/2021,09/21/2021,0,,0.0
B3epBo0p,0,0,45,1,0,0,09/22/2021,09/22/2021,5,1.0,0.0
gandis,0,0,44,1,0,0,09/26/2021,09/26/2021,6,,0.0
Tim R,0,0,61,1,0,0,09/28/2021,09/28/2021,0,1.0,4.0
Peiyu,0,0,77,1,0,0,09/28/2021,09/28/2021,1,,0.0
Pim de Wit,0,0,50,1,0,0,10/04/2021,10/04/2021,2,,0.0
James Baicoianu,0,0,117,1,0,0,10/06/2021,10/06/2021,0,0.3333333333333333,0.0
DefinitelyMaybe,0,0,241,1,0,0,10/06/2021,10/06/2021,1,1.0,0.0
Dave Buchhofer,0,0,43,1,0,0,10/08/2021,10/08/2021,1,1.0,0.0
Rodrigo Schuller,0,0,3,1,0,0,10/08/2021,10/08/2021,1,,0.0
Thomas Zeugner,0,0,510,1,0,0,10/08/2021,10/08/2021,0,0.7916666666666666,2.0
Devansh Gupta,0,0,12,1,0,0,10/12/2021,10/12/2021,0,,0.0
Salim BRG,0,0,1,1,0,0,10/13/2021,10/13/2021,0,,0.0
Rodrigo Soares,0,0,2,1,0,0,10/19/2021,10/19/2021,0,,0.0
Robert Long,0,0,68,1,0,0,10/22/2021,10/22/2021,2,,0.0
Sebastiaan ten Pas,0,1,102,2,714.0,14.0,10/26/2021,10/27/2021,0,1.0,0.0
Emmett Lalish,0,0,1,1,0,0,10/27/2021,10/27/2021,0,,0.0
Boulevard,0,0,4,1,0,0,10/28/2021,10/28/2021,1,,0.0
Viktor Kovacs,0,0,2,1,0,0,10/28/2021,10/28/2021,0,,0.0
