name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
JiangYizhou,0,1,540,6,11.419939577039274,0.1268882175226586,01/03/2017,11/30/2017,4,0.5185185185185185,2.0
Jeff Gilbert,0,1,113609,183,456.52296211251434,0.735361653272101,01/03/2017,10/11/2021,3466,0.8948772154093955,0.2786885245901639
Ken Russell,0,1,18839,175,75.7020665901263,0.7032146957520091,01/03/2017,10/11/2021,197,0.8995163397523087,2.125714285714286
Qiankun Miao,0,1,994,14,66.90384615384615,0.9423076923076923,01/04/2017,04/18/2017,12,1.0,0.35714285714285715
zhenyao,0,1,3739,42,37.07223796033994,0.4164305949008498,01/04/2017,12/11/2018,56,1.0,1.5
He Yunchao,0,0,114,9,1.2,0.09473684210526316,01/05/2017,11/01/2018,0,,0.0
Byungseon Shin,0,0,64,2,1.8064516129032258,0.056451612903225805,01/11/2017,09/16/2017,2,,0.0
Olli Etuaho,0,1,9915,75,111.58360128617363,0.8440514469453376,01/12/2017,09/26/2018,78,0.9105272760445176,0.9733333333333334
Jiawei Shao,0,1,2044,7,8.552301255230125,0.029288702928870293,01/23/2017,08/23/2021,25,0.18925353925353927,4.857142857142857
Kai Ninomiya,0,1,9003,58,73.79508196721312,0.47540983606557374,02/06/2017,06/10/2019,52,0.9205128205128206,2.7758620689655173
xlai,0,1,709,3,67.98630136986301,0.2876712328767123,02/10/2017,04/24/2017,8,0.8586956521739131,6.333333333333333
Dean Jackson,0,0,755,9,3.4295911745619727,0.040882543802725504,02/16/2017,05/07/2021,10,0.34121621621621623,1.2222222222222223
Zhenyao Mo,0,0,277,3,5.604046242774566,0.06069364161849711,02/17/2017,01/29/2018,0,,0.3333333333333333
Brandon Jones,0,0,291,2,8.083333333333334,0.05555555555555555,02/17/2017,10/27/2017,2,1.0,1.0
Corentin Wallez,0,1,129,3,112.875,2.625,02/23/2017,03/03/2017,1,,0.0
James Riordon,0,0,355,5,1.7724679029957204,0.024964336661911557,03/06/2017,01/06/2021,3,,0.0
Chen-Han Tsai,0,0,2,1,0,0,03/06/2017,03/06/2017,0,,0.0
Jiajia Qin,0,1,664,6,8.450909090909091,0.07636363636363637,03/13/2017,09/14/2018,4,1.0,2.8333333333333335
Treeki,0,0,102,1,0,0,04/03/2017,04/03/2017,1,,0.0
xhcao,0,0,147,2,1.0958466453674123,0.014909478168264111,04/05/2017,10/31/2019,7,,-3.0
Aleksandar Stojiljkovic,1,1,3076,4,936.1739130434783,1.2173913043478262,04/21/2017,05/14/2017,39,,0.0
Greggman,0,1,2974,11,12.922408441961515,0.04779639975170701,05/09/2017,10/06/2021,2,,1.0
Jie Chen,0,0,868,7,4.575301204819277,0.036897590361445784,05/09/2017,12/27/2020,9,1.0,4.428571428571429
Domenic Denicola,0,0,314,2,2.040854224698236,0.012999071494893221,05/10/2017,04/21/2020,23,,0.0
Rafael Cintron,0,0,93,3,0.6055813953488371,0.01953488372093023,05/19/2017,04/28/2020,1,,0.0
Reid Beels,0,0,8,1,0,0,05/31/2017,05/31/2017,0,,0.0
Samuel Vargas,0,1,20,2,14.0,1.4,06/23/2017,07/03/2017,1,,0.0
Tarek Sherif,0,1,948,5,14.332613390928726,0.0755939524838013,07/10/2017,10/16/2018,8,,0.4
